id,demand_twh_per_year,industrial_demand_fraction
AT,63.253705,0.19789734979979168
BE,87.08092749499994,0.030017723533940496
BG,38.758708,0.0
HR,17.855449,0.02505176057135382
CY,4.535691,0.0
CZ,66.13975042000007,0.05115427368857599
DK,32.46813672999993,0.014540799867655893
EE,8.300979250000008,0.0
FI,83.40355354999971,0.058095213685019964
FR,477.081504,0.047657451954776074
DE,493.221288,0.11332371223435288
EL,51.5975305,0.03839905622236124
HU,42.958832,0.03095311812428289
IE,27.88962,0.019189242733974855
IT,291.5673819999999,0.03559277738105831
LV,7.220434,0.0
LT,11.679825109999992,0.0
LU,4.3065809999999995,0.11954829961418119
NL,113.80663,0.08362014328193448
PL,168.37428970000155,0.030854043758350175
PT,49.63188739999996,0.023798235114380843
RO,60.04923775000002,0.09692198638045199
SK,29.665392200000003,0.11425805602902665
SI,13.176412599999964,0.0024906415204610454
ES,252.7992455,0.09934962011789185
SE,138.118435,0.042637591951532286
UK,305.44325299999997,0.059182430734042335
ALB,6.951557000000001,0.0
BIH,12.48477,0.0
MKD,7.005917,0.0
MNE,3.3793431199999904,0.0
NO,132.9083241499994,0.1641678763873923
SRB,39.813134000000005,0.0
CH,59.67515607999969,0.001202115735686103
